1990	 7,898,639 
1991	 7,487,232 
1991	 7,389,404 
1988	 6,924,749 
1993	 6,685,249 
1991	 5,625,469 
1993	 5,549,253 
1994	 5,342,757 
1994	 5,127,321 
1988	 5,100,022 
1996	 5,093,348 
1991	 5,091,018 
1997	 4,964,404 
1996	 4,436,698 
1991	 4,336,522 
1992	 4,179,473 
1993	 4,165,903 
2000	 4,147,371 
1991	 4,098,729 
1999	 4,050,863 
1992	 4,017,918 
1997	 3,959,984 
1993	 3,800,583 
2000	 3,780,724 
2000	 3,772,762 
1996	 3,737,536 
1997	 3,663,606 
1996	 3,659,823 
1996	 3,652,370 
1989	 3,585,705 
1991	 3,553,179 
1992	 3,442,131 
1998	 3,435,167 
1992	 3,416,687 
1990	 3,416,280 
1989	 3,409,999 
1990	 3,357,615 
1996	 3,322,206 
1996	 3,221,608 
1997	 3,208,714 
1991	 3,200,153 
2000	 3,180,845 
1998	 3,165,311 
1992	 3,112,822 
1988	 3,099,488 
1999	 3,082,872 
1997	 3,028,963 
1999	 3,014,664 
1996	 3,005,770 
1997	 3,001,082 
1997	 3,000,136 
1995	 2,988,180 
1995	 2,964,973 
2001	 2,955,629 
2000	 2,953,382 
1990	 2,939,669 
1992	 2,939,625 
1995	 2,910,058 
1992	 2,901,551 
1999	 2,892,637 
1999	 2,890,475 
1999	 2,890,272 
1992	 2,866,621 
1993	 2,861,923 
1997	 2,854,428 
2000	 2,829,573 
1989	 2,820,210 
1997	 2,811,912 
1995	 2,807,814 
1994	 2,789,514 
1996	 2,774,459 
1997	 2,773,315 
1997	 2,757,499 
1996	 2,746,830 
2000	 2,736,901 
1998	 2,732,120 
1997	 2,729,981 
1995	 2,710,528 
1988	 2,707,377 
1995	 2,702,593 
1998	 2,685,464 
1988	 2,671,300 
1988	 2,671,184 
1996	 2,669,879 
1990	 2,669,112 
1990	 2,667,010 
1996	 2,648,328 
1994	 2,643,053 
1998	 2,643,012 
1995	 2,630,890 
1990	 2,627,588 
1990	 2,626,776 
2000	 2,613,311 
2000	 2,605,273 
1989	 2,602,479 
1992	 2,580,026 
1998	 2,541,525 
2000	 2,523,393 
2000	 2,516,735 
1996	 2,510,799 
1991	 2,504,247 
1989	 2,495,747 
1991	 2,487,293 
1988	 2,485,421 
1996	 2,462,277 
2000	 2,452,286 
1991	 2,438,994 
1993	 2,431,623 
1991	 2,429,869 
1997	 2,429,039 
1999	 2,426,782 
1992	 2,425,338 
1991	 2,390,875 
1999	 2,388,606 
2001	 2,386,532 
1997	 2,369,036 
1996	 2,361,229 
1995	 2,359,498 
1994	 2,339,182 
1993	 2,327,351 
1992	 2,321,243 
1997	 2,318,778 
1999	 2,312,286 
1998	 2,302,612 
1995	 2,292,216 
1993	 2,284,612 
1990	 2,280,621 
1991	 2,274,747 
1996	 2,274,081 
1992	 2,266,644 
2000	 2,263,659 
1994	 2,262,964 
1998	 2,258,157 
1996	 2,254,849 
1996	 2,253,664 
1997	 2,253,043 
1998	 2,252,809 
1997	 2,250,003 
1997	 2,249,616 
1998	 2,247,724 
1995	 2,217,231 
1998	 2,209,462 
1995	 2,203,390 
1996	 2,202,351 
1998	 2,200,101 
2000	 2,198,386 
1997	 2,196,945 
1996	 2,191,835 
1996	 2,181,496 
1994	 2,161,008 
2001	 2,142,567 
1998	 2,138,317 
1994	 2,127,966 
1992	 2,122,457 
1999	 2,119,823 
1999	 2,119,630 
1999	 2,119,238 
1990	 2,118,573 
1993	 2,110,905 
1995	 2,098,319 
1990	 2,080,717 
1994	 2,074,140 
1993	 2,071,336 
2001	 2,062,311 
2001	 2,061,890 
1994	 2,049,804 
1989	 2,048,196 
1996	 2,042,148 
1993	 2,032,776 
1993	 2,030,947 
2001	 2,024,884 
1998	 2,002,975 
1999	 2,001,364 
1989	 1,991,735 
1991	 1,991,614 
1993	 1,988,149 
1998	 1,983,639 
2000	 1,981,079 
1990	 1,978,791 
1995	 1,971,521 
1993	 1,969,127 
1995	 1,967,219 
1995	 1,958,465 
1998	 1,957,966 
2000	 1,957,772 
1999	 1,944,368 
1992	 1,940,216 
1998	 1,939,176 
1994	 1,937,239 
2000	 1,933,303 
1999	 1,927,109 
1999	 1,927,109 
1999	 1,927,106 
1999	 1,927,100 
1998	 1,923,797 
1995	 1,923,299 
1989	 1,923,234 
1995	 1,917,512 
1993	 1,908,406 
1990	 1,894,452 
1999	 1,887,624 
2000	 1,886,326 
1995	 1,885,334 
1998	 1,883,754 
1998	 1,882,101 
1994	 1,878,103 
1993	 1,875,707 
1988	 1,866,445 
2000	 1,863,745 
1995	 1,856,397 
1994	 1,853,587 
2000	 1,852,238 
1992	 1,846,440 
1995	 1,839,750 
1995	 1,834,039 
1996	 1,833,711 
1988	 1,831,366 
1995	 1,829,415 
1997	 1,827,968 
1999	 1,827,254 
1989	 1,826,203 
1998	 1,822,366 
1996	 1,819,529 
1998	 1,806,086 
1995	 1,799,443 
1998	 1,785,859 
2000	 1,785,433 
1998	 1,783,378 
1999	 1,773,792 
1990	 1,772,746 
1998	 1,761,610 
1991	 1,757,112 
1996	 1,747,575 
1999	 1,736,584 
1998	 1,736,060 
1999	 1,734,316 
1995	 1,730,524 
1997	 1,729,568 
1998	 1,714,019 
1995	 1,705,852 
1993	 1,705,390 
2000	 1,697,681 
1995	 1,691,781 
1995	 1,685,843 
1988	 1,684,119 
