Date,Loss
01/03/1980,1.683748
01/04/1980,2.093704
01/05/1980,1.732581
01/07/1980,1.779754
01/07/1980,4.612006
01/10/1980,8.725274
01/10/1980,7.898975
01/16/1980,2.208045
01/16/1980,1.486091
01/19/1980,2.796171
01/21/1980,7.320644
01/21/1980,3.367496
01/24/1980,1.464129
01/25/1980,1.722223
01/26/1980,11.374817
01/26/1980,2.482739
01/28/1980,26.214641
02/03/1980,2.00243
02/05/1980,4.530015
02/07/1980,1.841753
02/10/1980,3.806735
02/13/1980,14.122076
02/16/1980,5.424253
02/19/1980,11.713031
02/20/1980,1.515373
02/21/1980,2.538589
02/22/1980,2.04978
02/23/1980,12.465593
02/25/1980,1.735445
02/27/1980,1.683748
03/07/1980,3.323852
03/13/1980,1.821025
03/13/1980,2.415813
03/13/1980,1.464129
03/17/1980,5.875902
03/20/1980,1.792439
03/21/1980,3.338214
03/22/1980,1.584488
03/26/1980,1.931321
04/06/1980,2.04978
04/10/1980,1.573758
04/11/1980,1.756955
04/14/1980,4.931186
04/15/1980,5.417277
04/16/1980,1.537335
04/25/1980,17.569546
04/25/1980,1.691123
04/26/1980,1.581612
05/01/1980,1.467116
05/01/1980,2.04978
05/02/1980,1.928712
05/02/1980,3.263154
05/04/1980,1.704246
05/07/1980,2.074608
05/09/1980,3.29429
05/10/1980,1.839975
05/16/1980,7.320644
05/18/1980,7.320644
05/20/1980,1.576215
05/20/1980,4.856098
05/21/1980,1.542275
05/26/1980,13.620791
05/29/1980,1.756955
05/29/1980,1.639824
06/02/1980,2.036378
06/03/1980,21.961933
06/11/1980,1.799026
06/12/1980,2.452416
06/15/1980,2.669107
06/15/1980,2.024146
06/16/1980,1.724744
06/17/1980,1.643864
06/21/1980,1.961933
06/30/1980,4.626647
07/02/1980,1.464129
07/04/1980,3.96325
07/04/1980,5.563852
07/07/1980,4.392387
07/10/1980,3.640313
07/12/1980,1.677892
07/14/1980,1.449488
07/15/1980,263.250366
07/25/1980,2.500732
07/26/1980,1.825769
07/26/1980,9.88287
07/28/1980,2.146618
07/29/1980,2.870259
08/07/1980,6.319914
08/08/1980,2.123461
08/08/1980,2.923865
08/11/1980,2.036376
08/18/1980,1.736457
08/18/1980,2.04978
08/20/1980,1.903367
08/21/1980,1.610542
08/23/1980,1.717423
08/23/1980,3.129438
08/27/1980,2.051958
08/28/1980,1.967518
08/28/1980,2.102489
08/28/1980,3.259151
08/30/1980,1.998536
08/30/1980,5.417277
09/02/1980,2.819836
09/04/1980,3.697083
09/05/1980,2.045388
09/05/1980,2.679356
09/08/1980,3.426224
09/11/1980,1.58858
09/12/1980,4.262871
09/12/1980,1.755859
09/14/1980,1.987006
09/15/1980,1.661925
09/15/1980,7.61347
09/15/1980,1.794878
09/15/1980,6.674817
09/25/1980,2.185944
09/28/1980,3.855051
09/30/1980,3.221083
10/01/1980,2.122987
10/01/1980,1.760291
10/06/1980,2.041653
10/07/1980,3.755939
10/07/1980,2.242111
10/08/1980,1.721113
10/09/1980,1.464129
10/12/1980,4.711892
10/14/1980,2.153824
10/16/1980,3.874813
10/17/1980,19.070278
10/20/1980,1.887262
10/23/1980,1.464129
10/24/1980,1.536164
10/25/1980,2.560066
10/27/1980,2.799707
10/29/1980,2.013177
10/30/1980,1.464129
11/05/1980,6.325037
11/07/1980,1.5673
11/09/1980,2.196193
11/10/1980,2.335286
11/13/1980,2.115666
11/14/1980,1.469545
11/18/1980,5.402635
11/18/1980,5.314788
11/19/1980,2.872621
11/20/1980,2.781845
11/25/1980,2.576821
12/06/1980,3.101025
12/07/1980,1.464129
12/08/1980,2.04978
12/09/1980,1.961933
12/09/1980,1.464129
12/09/1980,2.635432
12/10/1980,1.464129
12/10/1980,5.856515
12/12/1980,3.29429
12/14/1980,2.520857
12/17/1980,19.472914
12/17/1980,1.835463
12/19/1980,2.04978
12/23/1980,2.783309
12/25/1980,2.781845
12/26/1980,1.756955
12/27/1980,2.84041
12/31/1980,2.330893
01/01/1981,1.756225
01/01/1981,1.314548
01/01/1981,2.403971
01/03/1981,6.91563
01/07/1981,1.491877
01/17/1981,1.532396
01/23/1981,1.873861
01/26/1981,1.815203
01/31/1981,8.256881
02/02/1981,1.410204
02/07/1981,2.206625
02/10/1981,34.141547
02/10/1981,2.443311
02/13/1981,3.59437
02/13/1981,2.372215
02/15/1981,3.669725
02/17/1981,6.888453
02/19/1981,1.802097
02/19/1981,1.441678
02/23/1981,9.174312
02/27/1981,2.096986
03/01/1981,2.814548
03/01/1981,1.684903
03/04/1981,2.099607
03/09/1981,2.621232
03/10/1981,1.376147
03/12/1981,1.664482
03/13/1981,2.359109
03/16/1981,4.136488
03/19/1981,1.394396
03/23/1981,1.802097
03/24/1981,1.819135
03/24/1981,1.513761
03/27/1981,3.080773
04/01/1981,20.969856
04/10/1981,4.193971
04/13/1981,1.861644
04/18/1981,2.496723
04/20/1981,2.213781
04/20/1981,5.242464
04/22/1981,1.322254
04/23/1981,8.551769
04/24/1981,1.965924
04/25/1981,12.895151
04/26/1981,1.788991
04/26/1981,2.176827
04/27/1981,8.777628
04/27/1981,1.815203
04/29/1981,1.68314
04/29/1981,3.643512
05/02/1981,1.613368
05/03/1981,1.46789
05/05/1981,1.405604
05/06/1981,3.120803
05/11/1981,1.598181
05/13/1981,3.800786
05/14/1981,1.510089
05/16/1981,1.572739
05/16/1981,1.830052
05/21/1981,2.621232
05/21/1981,2.806481
05/23/1981,1.357798
05/24/1981,1.618611
05/25/1981,1.965924
05/28/1981,3.02228
05/29/1981,56.225426
05/31/1981,4.980341
06/02/1981,1.987163
06/14/1981,1.965924
06/16/1981,2.711292
06/17/1981,1.900393
06/18/1981,1.72346
06/18/1981,1.572739
06/19/1981,1.703801
06/19/1981,3.019659
06/21/1981,1.834862
06/24/1981,1.419397
06/29/1981,4.390564
06/30/1981,7.863696
07/01/1981,1.572739
07/01/1981,1.336613
07/05/1981,1.703801
07/07/1981,2.635623
07/10/1981,1.864718
07/11/1981,1.457755
07/11/1981,7.558322
07/12/1981,2.031397
07/20/1981,1.349934
07/26/1981,1.474862
07/28/1981,5.111402
07/30/1981,5.242464
07/31/1981,1.441678
08/04/1981,3.936139
08/05/1981,4.06291
08/11/1981,1.376147
08/19/1981,1.684142
08/19/1981,1.44062
08/25/1981,1.364549
08/25/1981,1.572739
08/27/1981,2.185422
08/27/1981,3.281346
08/27/1981,1.363101
08/28/1981,2.123198
08/28/1981,2.634338
08/28/1981,2.098296
08/29/1981,3.434353
09/01/1981,1.478796
09/02/1981,2.621232
09/03/1981,3.001311
09/04/1981,1.429734
09/06/1981,10.222805
09/09/1981,2.579396
09/09/1981,1.755359
09/10/1981,1.473405
09/11/1981,1.952818
09/14/1981,1.779869
09/15/1981,1.986862
09/16/1981,1.939712
09/17/1981,1.6759
09/17/1981,1.572739
09/19/1981,2.524902
09/19/1981,14.678899
09/20/1981,3.034076
09/21/1981,1.97903
09/22/1981,5.937759
09/26/1981,1.441678
09/29/1981,2.621232
10/01/1981,2.038008
10/03/1981,3.754915
10/07/1981,2.437746
10/07/1981,1.702031
10/11/1981,7.10987
10/15/1981,2.019659
10/17/1981,1.85049
10/18/1981,1.41595
10/22/1981,7.693316
10/25/1981,3.014417
10/27/1981,2.359109
10/28/1981,1.592316
11/01/1981,1.389253
11/01/1981,1.332969
11/03/1981,1.423329
11/03/1981,2.977571
11/05/1981,1.387355
11/05/1981,1.40498
11/08/1981,2.621232
11/13/1981,4.279161
11/15/1981,1.605505
11/16/1981,2.011796
11/17/1981,2.267366
11/17/1981,1.46465
11/19/1981,3.374066
11/22/1981,1.490799
11/24/1981,2.096986
11/25/1981,1.570166
11/25/1981,1.376147
12/01/1981,3.145478
12/07/1981,8.453735
12/10/1981,3.033283
12/13/1981,2.06422
12/14/1981,6.422018
12/14/1981,1.898788
12/18/1981,1.49017
12/21/1981,50.065531
12/21/1981,1.559633
12/22/1981,1.965924
12/28/1981,1.800052
12/29/1981,2.42464
12/29/1981,1.310616
12/31/1981,1.612058
01/06/1982,4.221165
01/08/1982,1.260404
01/08/1982,1.403693
01/09/1982,1.297265
01/13/1982,1.927492
01/13/1982,1.915458
01/14/1982,1.207452
01/17/1982,5.698583
01/21/1982,1.902497
01/22/1982,1.189134
